design_name,width_mm,height_mm,price_gbp,helions_sku,photo_url
Finchingfield,4500,2200,4391.09,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,5000,1600,4536.38,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,5000,1800,4681.67,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,5000,2000,4826.97,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,5000,2200,4972.26,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Clavering,2500,1600,2832.29,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,2500,1800,2959.74,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,2500,2000,3087.2,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,2500,2200,3214.65,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3000,1600,2959.74,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3000,1800,3087.2,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3000,2000,3214.65,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3000,2200,3342.1,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3500,1600,3087.2,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3500,1800,3214.65,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3500,2000,3342.1,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,3500,2200,3214.65,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4000,1600,3342.1,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4000,1800,3469.56,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4000,2000,3597.01,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4000,2200,3724.46,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4500,1600,3469.56,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4500,1800,3597.01,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4500,2000,3724.46,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,4500,2200,3851.91,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,5000,1600,3979.37,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,5000,1800,4106.82,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,5000,2000,4234.27,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Clavering,5000,2200,4361.73,HF017DG,https://helionsforge.com/wp-content/uploads/2025/11/Buckinghamshire-Iron-Driveway-Gate-Design.jpg
Sudbury,2500,1600,3191.64,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,2500,1800,3319.31,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,2500,2000,3446.97,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,2500,2200,3574.64,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3000,1600,3319.31,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3000,1800,3446.97,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3000,2000,3574.64,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3000,2200,3702.3,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3500,1600,3446.97,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3500,1800,3574.64,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3500,2000,3702.3,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,3500,2200,3574.64,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,4000,1600,3702.3,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,4000,1800,3829.97,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,4000,2000,3957.63,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,4000,2200,4085.3,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,4500,1600,3829.97,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
Sudbury,4500,1800,3957.63,HF018DG,https://helionsforge.com/wp-content/uploads/2024/11/Custom-Metal-Driveway-Gate-Hertfordshire.jpeg
